step,t,rel_energy_diff,max_rel_coord_diff
4520,64.9303743758838312,2.80122e-29,1.10187e-20
4540,64.9320483178793279,2.93074e-29,6.35607e-21
4560,64.945042407417958,2.92468e-29,2.87384e-21
4580,65.0718756855033351,2.92485e-29,8.36643e-22
4600,65.7230848747124391,2.92477e-29,1.84454e-21
4620,65.7841717033679408,2.92592e-29,4.61724e-21
4640,65.789445588351051,2.85271e-29,8.15021e-21
4660,65.7901082909693435,3.23526e-29,2.06875e-20
4680,65.7905779793778514,2.36349e-29,1.1884e-20
4700,65.7930616702042196,2.70722e-29,6.33847e-21
4720,65.8131686316747363,2.70747e-29,2.7473e-21
4740,66.0308295045978907,2.7071e-29,9.12942e-22
4760,66.6102098002800315,2.70711e-29,2.63669e-21
4780,66.6464295574048944,2.71545e-29,6.04941e-21
4800,66.6497530561922691,2.47091e-29,1.11567e-20
4820,66.6502493681324373,3.15182e-29,2.16601e-20
4840,66.6508518244329013,2.72657e-29,1.22036e-20
4860,66.6545774052024406,2.79701e-29,6.16982e-21
4880,66.6859005374276628,2.79825e-29,2.53273e-21
4900,67.0909685540675319,2.79823e-29,1.08028e-21
4920,67.4859616532338157,2.79809e-29,3.59471e-21
4940,67.5078666808799902,2.78364e-29,7.72464e-21
4960,67.509992682997612,2.799e-29,1.60543e-20
4980,67.5104025757304372,3.61118e-29,1.92559e-20
5000,67.5112226839196439,2.71595e-29,1.21305e-20
5020,67.516856144136468,2.62798e-29,5.88517e-21
5040,67.5661176869763042,2.6283e-29,2.23597e-21
5060,68.16374428392077,2.62814e-29,1.25714e-21
5080,68.3553736929343703,2.62882e-29,4.7487e-21
5100,68.3688043540126047,2.64439e-29,9.6209e-21
5120,68.3701920308439703,2.08828e-29,2.23522e-20
5140,68.3705732965232076,3.26176e-29,1.80776e-20
5160,68.3717350002936734,2.70067e-29,1.1779e-20
5180,68.3803094797423072,2.68647e-29,5.51139e-21
5200,68.4589061560176021,2.68468e-29,1.85265e-21
5220,69.1168802410778016,2.68468e-29,2.15103e-21
5240,69.2211102367625111,2.68487e-29,6.12854e-21
5260,69.229435606558468,2.68481e-29,1.16607e-20
5280,69.2303689998226249,2.78695e-29,2.94087e-20
5300,69.2307696968191576,2.09057e-29,1.95423e-20
5320,69.2324588628796776,2.41881e-29,1.12342e-20
5340,69.245589216932979,2.44233e-29,5.06791e-21
5360,69.3740203143023639,2.44259e-29,1.48646e-21
5380,70.0243707467052408,2.44249e-29,3.11733e-21
5400,70.0846644030954981,2.44465e-29,7.76124e-21
5420,70.0898778345697391,2.35184e-29,1.36634e-20
5440,70.0905347918189792,2.13367e-29,3.45744e-20
5460,70.0910053824852324,2.14968e-29,1.98315e-20
5480,70.0935032109655689,2.30112e-29,1.05591e-20
5500,70.1137390209645154,2.29044e-29,4.56722e-21
5520,70.3332630672943125,2.29063e-29,1.60887e-21
5540,70.910955389091446,2.29048e-29,4.22518e-21
5560,70.9469023109124265,2.29238e-29,9.66511e-21
5580,70.9502031831406772,1.99722e-29,1.77892e-20
5600,70.9506972862769605,2.77244e-29,3.44065e-20
5620,70.9513006267311919,2.4429e-29,1.94029e-20
5640,70.9550369330522104,2.30224e-29,9.79922e-21
5660,70.9864615784453536,2.30081e-29,4.01489e-21
5680,71.393429155114048,2.30068e-29,1.78583e-21
5700,71.7865131318005025,2.30065e-29,5.51889e-21
5720,71.8083376794444233,2.30179e-29,1.18389e-20
5740,71.8104565352348058,2.72838e-29,2.45576e-20
5760,71.8108656265495508,2.22895e-29,2.93914e-20
5780,71.8116858835552726,1.98869e-29,1.85375e-20
5800,71.8173225235562856,1.94527e-29,8.98663e-21
5820,71.8666179821511666,1.94421e-29,3.40847e-21
5840,72.4644335280808313,1.94435e-29,1.96621e-21
5860,72.655859955341004,1.94509e-29,7.03683e-21
5880,72.669279857505232,1.96693e-29,1.42428e-20
5900,72.6706663989323036,1.95351e-29,3.30262e-20
5920,72.6710472582157845,3.17507e-29,2.67279e-20
5940,72.6722074500628359,1.38804e-29,1.74135e-20
5960,72.6807703236268101,1.37917e-29,8.14272e-21
5980,72.7592513375579081,1.3813e-29,2.73537e-21
6000,73.417169952634969,1.3812e-29,3.09949e-21
