sample,step,t,dx_m1,dv_m1,dx_m2,dv_m2,dx_m3,dv_m3,dx_m4,dv_m4,dx_m5,dv_m5,dx_m6,dv_m6,dx_m7,dv_m7
51,1020,15.834851072724904,1.000500e-11,1.700855e-10,1.287809e-11,2.116849e-10,1.390593e-11,2.391902e-10,2.098767e-11,3.540739e-10,1.300036e-11,2.145502e-10,1.766892e-11,3.020644e-10,9.795231e-13,1.592020e-11
52,1040,15.8710434080383848,4.447722e-12,2.722461e-11,5.910036e-12,3.479004e-11,5.945533e-12,4.113068e-11,9.543964e-12,5.422097e-11,5.910286e-12,3.580856e-11,8.161049e-12,4.136829e-11,8.908896e-13,1.635566e-11
53,1060,16.1498668236856584,3.822944e-12,3.216603e-11,5.074489e-12,4.337277e-11,8.450712e-12,5.918386e-11,5.287824e-12,5.493121e-11,5.764042e-12,4.669757e-11,1.710169e-12,2.404474e-11,1.412199e-11,6.881444e-11
54,1080,16.857067781349776,2.337177e-11,3.432528e-11,3.150556e-11,4.636614e-11,4.483722e-11,6.474901e-11,3.831482e-11,5.724197e-11,3.430138e-11,5.024381e-11,1.359148e-11,2.219668e-11,5.786838e-11,8.042893e-11
55,1100,17.0113885355653876,2.759380e-11,8.493832e-11,3.720946e-11,9.193741e-11,5.277339e-11,1.497980e-10,4.538022e-11,1.507220e-10,4.047642e-11,1.011956e-10,1.637978e-11,9.951408e-11,6.764317e-11,1.166816e-10
56,1120,17.1915926188493624,3.286509e-11,6.897028e-11,4.432676e-11,8.843541e-11,6.270665e-11,1.298000e-10,5.417957e-11,1.153101e-10,4.818737e-11,9.654347e-11,1.981312e-11,4.991169e-11,7.994646e-11,1.525239e-10
57,1140,17.8858915629480265,5.765035e-11,1.423324e-10,7.772229e-11,1.916071e-10,1.095571e-10,2.696017e-10,9.542826e-11,2.363852e-10,8.440745e-11,2.079494e-10,3.572303e-11,9.035714e-11,1.382958e-10,3.371833e-10
58,1160,19.2561986432262287,1.611810e-10,4.606248e-10,2.168576e-10,6.188097e-10,3.058371e-10,8.738096e-10,2.672245e-10,7.639031e-10,2.354719e-10,6.719950e-10,1.013219e-10,2.909619e-10,3.839090e-10,1.094670e-09
59,1180,19.7448077072171208,3.598878e-10,4.368889e-09,4.832476e-10,5.873725e-09,6.828144e-10,8.287194e-09,5.967557e-10,7.246091e-09,5.248459e-10,6.378012e-09,2.273096e-10,2.756063e-09,8.553776e-10,1.038798e-08
60,1200,19.8280597967573841,4.909349e-10,7.674187e-09,6.593832e-10,1.031543e-08,9.314099e-10,1.455755e-08,8.140950e-10,1.272770e-08,7.161196e-10,1.120166e-08,3.099853e-10,4.841623e-09,1.166970e-09,1.824671e-08
61,1220,19.9923259826264894,2.609291e-10,1.094258e-09,3.504951e-10,1.470271e-09,4.952080e-10,2.075988e-09,4.325410e-10,1.814636e-09,3.807151e-10,1.596737e-09,1.643313e-10,6.904545e-10,6.210519e-10,2.601816e-09
62,1240,20.8062886571676833,2.129086e-10,4.139546e-10,2.847403e-10,5.559611e-10,4.050933e-10,7.858273e-10,3.520067e-10,6.860303e-10,3.096993e-10,6.039880e-10,1.332899e-10,2.603633e-10,5.089381e-10,9.860091e-10
63,1260,21.5739872029082851,5.087080e-10,1.293860e-09,6.808790e-10,1.731524e-09,9.675778e-10,2.460638e-09,8.413492e-10,2.140224e-09,7.404352e-10,1.882952e-09,3.185458e-10,8.110184e-10,1.215608e-09,3.090121e-09
64,1280,21.8428631760748037,8.001518e-10,2.685477e-09,1.071964e-09,3.595257e-09,1.521442e-09,5.106575e-09,1.323818e-09,4.442875e-09,1.165551e-09,3.909499e-09,5.008360e-10,1.682841e-09,1.911935e-09,6.413874e-09
65,1300,22.3111981211174648,4.202340e-10,7.926580e-10,5.626159e-10,1.061618e-09,7.990307e-10,1.506549e-09,6.953207e-10,1.312126e-09,6.117840e-10,1.154210e-09,2.634422e-10,4.976596e-10,1.003452e-09,1.890942e-09
66,1320,22.8796950107519759,8.134543e-10,2.603110e-09,1.089766e-09,3.486812e-09,1.546733e-09,4.949425e-09,1.345800e-09,4.306970e-09,1.184891e-09,3.791210e-09,5.091710e-10,1.630382e-09,1.943678e-09,6.218112e-09
67,1340,22.9566203108750212,1.871693e-09,2.140802e-08,2.507156e-09,2.867297e-08,3.558862e-09,4.070550e-08,3.096664e-09,3.541937e-08,2.726042e-09,3.117676e-08,1.171972e-09,1.340821e-08,4.471549e-09,5.113909e-08
68,1360,22.9646914997090475,3.244910e-09,2.881149e-07,4.346356e-09,3.858919e-07,6.169934e-09,5.478247e-07,5.368623e-09,4.766841e-07,4.725852e-09,4.195884e-07,2.032036e-09,1.804492e-07,7.751891e-09,6.882462e-07
